doc_id,entity_text,entity_type
21645374,death,DISEASE
21645374,pcd,DISEASE
21645374,perforations,DISEASE
21645374,npcd,DISEASE
21645374,cyclosporine a,CHEMICAL
21645374,csa,CHEMICAL
21645374,non-pcd,DISEASE
16418930,amblyopia,DISEASE
16418930,strabismus,DISEASE
16418930,strabismus amblyopia,DISEASE
9488747,sudden infant death syndrome,DISEASE
9488747,seizure,DISEASE
9488747,reflux,DISEASE
9488747,urticaria,DISEASE
9488747,dermographism,DISEASE
9488747,maladies,DISEASE
9488747,histamine,CHEMICAL
9488747,"aquagenic maladies""",DISEASE
17208539,hirschsprung disease,DISEASE
23831910,small bowel ibd,DISEASE
23831910,dbe,CHEMICAL
23831910,bleeding,DISEASE
23831910,vces,CHEMICAL
26852225,sleep disorders,DISEASE
26852225,sleep-related,DISEASE
17113061,cholesterol,CHEMICAL
17113061,coronary heart disease,DISEASE
17113061,chd,DISEASE
17113061,hdl deficiency,DISEASE
17113061,lcat,CHEMICAL
17113061,atherosclerosis,DISEASE
17113061,a-i,CHEMICAL
10966337,nch,CHEMICAL
10966337,asthma,DISEASE
10966337,gastroenteritis,DISEASE
10966337,convulsion,DISEASE
10966337,pneumonia,DISEASE
25432938,injuries,DISEASE
25432938,alcohol,CHEMICAL
18847643,trauma,DISEASE
18847643,heparin,CHEMICAL
18847643,bleeding,DISEASE
18847643,venous thrombosis,DISEASE
18847643,hemorrhage,DISEASE
18847643,chronic obstructive pulmonary disease,DISEASE
18239988,nonalcoholic,DISEASE
18239988,nash,DISEASE
18239988,alcoholic steatohepatitis,DISEASE
18239988,steatohepatitis,DISEASE
18239988,liver diseases,DISEASE
18239988,alcohol,CHEMICAL
18239988,fibrosis,DISEASE
25957366,pcp,DISEASE
25957366,heart disease,DISEASE
25957366,stroke,DISEASE
25957366,diabetes,DISEASE
25957366,"breast, colorectal, or ovarian cancer",DISEASE
26578404,breathlessness,DISEASE
26578404,cancer,DISEASE
26578404,noncancer,DISEASE
26578404,agitation,DISEASE
26578404,morphine,CHEMICAL
11729377,deaths,DISEASE
11729377,bilirubin,CHEMICAL
11729377,alanine,CHEMICAL
11729377,fatty degeneration,DISEASE
17096624,illness,DISEASE
22694248,rpn,DISEASE
22694248,blood loss,DISEASE
22990761,cardiovascular disease,DISEASE
22990761,cvd,DISEASE
22990761,alcohol,CHEMICAL
22990761,abdominal obesity,DISEASE
19394934,trauma,DISEASE
19394934,injuries,DISEASE
11481599,malignancy,DISEASE
11481599,respiratory distress syndrome,DISEASE
11481599,ards,DISEASE
11481599,sepsis,DISEASE
11481599,peep,CHEMICAL
21669959,smoke,CHEMICAL
21669959,depression,DISEASE
21669959,smoking,CHEMICAL
21669959,depressed,DISEASE
23806388,prostate,DISEASE
23806388,aggressive bcr,DISEASE
23806388,prostate disease research(cpdr)/cancer,DISEASE
23806388,cancer,DISEASE
17919952,chronic oro-facial pain,DISEASE
17919952,oro-facial pain,DISEASE
17919952,"teeth grinding, facial",DISEASE
17919952,trauma,DISEASE
17919952,teeth and the feeling that the teeth,DISEASE
10966943,amblyopia,DISEASE
23690198,pain,DISEASE
23690198,labor,DISEASE
17940352,urothelial carcinoma,DISEASE
17940352,methotrexate,CHEMICAL
17940352,vinblastine,CHEMICAL
17940352,epirubicin,CHEMICAL
17940352,cisplatin,CHEMICAL
20537205,halofantrine,CHEMICAL
20537205,plasmodium falciparum,DISEASE
20537205,malaria,DISEASE
20537205,toluidine blue,CHEMICAL
7482275,fasciitis,DISEASE
7482275,hbo,CHEMICAL
24183388,fractures,DISEASE
24183388,avascular necrosis,DISEASE
24183388,fracture,DISEASE
24183388,talar neck fractures,DISEASE
24183388,necrosis,DISEASE
26298839,benign vocal pathologies,DISEASE
24153338,aneurysmal subarachnoid hemorrhage,DISEASE
24153338,asah,DISEASE
24153338,aneurysm,DISEASE
18534072,diabetes,DISEASE
18534072,diabetic,DISEASE
8847047,hepatocellular carcinoma,DISEASE
8847047,hcc,DISEASE
8847047,cancer,DISEASE
8847047,fibrous capsule formation,DISEASE
8847047,barium sulfate,CHEMICAL
8847047,tumor,DISEASE
20084845,allergic,DISEASE
20084845,cetyl trimethyl ammonium bromide-based,CHEMICAL
15703931,cancer,DISEASE
15703931,tumour,DISEASE
15703931,diabetes mellitus,DISEASE
15703931,cervical cancer,DISEASE
15703931,curable recurrent cervical carcinoma,DISEASE
15703931,0.950/0.938/0.979,CHEMICAL
18269157,asa,CHEMICAL
18269157,keratoconus,DISEASE
18269157,ectasia,DISEASE
18269157,corneal haze,DISEASE
18269157,haze,DISEASE
25489696,toxicity,DISEASE
25489696,cancer,DISEASE
25489696,primary rectal cancer,DISEASE
25489696,tumor,DISEASE
14599616,lymphedema,DISEASE
14599616,breast cancer,DISEASE
14599616,volume increase,DISEASE
22537902,colorectal cancers,DISEASE
22537902,crc,DISEASE
19054501,schizophrenia,DISEASE
19504993,fournier's gangrene,DISEASE
20571467,death,DISEASE
20571467,ischemia,DISEASE
