head,relation,tail,doc_id
death,mentioned_in,21645374,21645374
pcd,mentioned_in,21645374,21645374
perforations,mentioned_in,21645374,21645374
npcd,mentioned_in,21645374,21645374
cyclosporine a,mentioned_in,21645374,21645374
csa,mentioned_in,21645374,21645374
non-pcd,mentioned_in,21645374,21645374
amblyopia,mentioned_in,16418930,16418930
strabismus,mentioned_in,16418930,16418930
strabismus amblyopia,mentioned_in,16418930,16418930
sudden infant death syndrome,mentioned_in,9488747,9488747
seizure,mentioned_in,9488747,9488747
reflux,mentioned_in,9488747,9488747
urticaria,mentioned_in,9488747,9488747
dermographism,mentioned_in,9488747,9488747
maladies,mentioned_in,9488747,9488747
histamine,mentioned_in,9488747,9488747
"aquagenic maladies""",mentioned_in,9488747,9488747
hirschsprung disease,mentioned_in,17208539,17208539
small bowel ibd,mentioned_in,23831910,23831910
dbe,mentioned_in,23831910,23831910
bleeding,mentioned_in,23831910,23831910
vces,mentioned_in,23831910,23831910
sleep disorders,mentioned_in,26852225,26852225
sleep-related,mentioned_in,26852225,26852225
cholesterol,mentioned_in,17113061,17113061
coronary heart disease,mentioned_in,17113061,17113061
chd,mentioned_in,17113061,17113061
hdl deficiency,mentioned_in,17113061,17113061
lcat,mentioned_in,17113061,17113061
atherosclerosis,mentioned_in,17113061,17113061
a-i,mentioned_in,17113061,17113061
nch,mentioned_in,10966337,10966337
asthma,mentioned_in,10966337,10966337
gastroenteritis,mentioned_in,10966337,10966337
convulsion,mentioned_in,10966337,10966337
pneumonia,mentioned_in,10966337,10966337
injuries,mentioned_in,25432938,25432938
alcohol,mentioned_in,25432938,25432938
trauma,mentioned_in,18847643,18847643
heparin,mentioned_in,18847643,18847643
bleeding,mentioned_in,18847643,18847643
venous thrombosis,mentioned_in,18847643,18847643
hemorrhage,mentioned_in,18847643,18847643
chronic obstructive pulmonary disease,mentioned_in,18847643,18847643
nonalcoholic,mentioned_in,18239988,18239988
nash,mentioned_in,18239988,18239988
alcoholic steatohepatitis,mentioned_in,18239988,18239988
steatohepatitis,mentioned_in,18239988,18239988
liver diseases,mentioned_in,18239988,18239988
alcohol,mentioned_in,18239988,18239988
fibrosis,mentioned_in,18239988,18239988
pcp,mentioned_in,25957366,25957366
heart disease,mentioned_in,25957366,25957366
stroke,mentioned_in,25957366,25957366
diabetes,mentioned_in,25957366,25957366
"breast, colorectal, or ovarian cancer",mentioned_in,25957366,25957366
breathlessness,mentioned_in,26578404,26578404
cancer,mentioned_in,26578404,26578404
noncancer,mentioned_in,26578404,26578404
agitation,mentioned_in,26578404,26578404
morphine,mentioned_in,26578404,26578404
deaths,mentioned_in,11729377,11729377
bilirubin,mentioned_in,11729377,11729377
alanine,mentioned_in,11729377,11729377
fatty degeneration,mentioned_in,11729377,11729377
illness,mentioned_in,17096624,17096624
rpn,mentioned_in,22694248,22694248
blood loss,mentioned_in,22694248,22694248
cardiovascular disease,mentioned_in,22990761,22990761
cvd,mentioned_in,22990761,22990761
alcohol,mentioned_in,22990761,22990761
abdominal obesity,mentioned_in,22990761,22990761
trauma,mentioned_in,19394934,19394934
injuries,mentioned_in,19394934,19394934
malignancy,mentioned_in,11481599,11481599
respiratory distress syndrome,mentioned_in,11481599,11481599
ards,mentioned_in,11481599,11481599
sepsis,mentioned_in,11481599,11481599
peep,mentioned_in,11481599,11481599
smoke,mentioned_in,21669959,21669959
depression,mentioned_in,21669959,21669959
smoking,mentioned_in,21669959,21669959
depressed,mentioned_in,21669959,21669959
